,favorites,retweets
772,347,34
818,871,164
11175,44,9
10544,212,45
1346,528,89
10279,95,2
453,2469,514
6152,447,97
11516,23,1
1656,172,28
3457,77,9
4415,73,2
10379,0,38
9353,33,1
37,7567,962
10303,342,11
6606,84,10
1043,321,67
2908,4530,970
6377,197,54
940,301,43
6148,6,1
11782,61,8
4716,8,2
9168,1014,208
4698,0,0
5023,0,0
10000,30,4
7021,14,1
538,6414,1971
5236,19,3
7411,467,27
1400,150,17
5768,1962,1321
10588,501,76
30,3577,109
2267,389,78
10292,413,41
7861,23,3
10003,10,1
3677,1,0
2470,169,13
6045,714,678
11004,66,4
8293,38,5
4871,9,2
5721,1527,789
7518,20,2
1092,340,41
266,6942,277
1108,216,28
9101,440,58
10750,2138,443
3229,35,3
4782,2,1
6840,90,6
10550,346,16
3319,36,3
11472,83,10
1739,494,43
230,2393,334
6512,6,0
898,196,36
7078,11,0
6995,79,5
7972,117,3
3919,13,0
6275,534,470
11731,153,29
8898,233,21
1563,336,42
6874,28,3
7795,57,3
3071,58,5
9259,3193,274
11647,257,15
5511,1242,142
3433,3,0
4317,59,4
9422,407,97
10625,77,6
11020,365,55
7324,77,3
11025,175,5
6280,371,131
6461,716,268
5151,15,2
3573,4,0
4680,25,3
9061,714,65
6839,12,2
3375,53,1
2840,126,8
7457,29,1
5114,5,0
4207,6,0
10317,575,40
6466,216,59
4484,45,2
7930,25,1
10951,218,4
3614,3,0
2213,589,108
833,235,21
8678,2009,114
5689,2767,1080
9488,537,39
4215,16,0
2111,325,80
7144,100,4
5576,11280,2074
10768,62,11
1743,407,66
10270,1576,195
4525,53,5
6762,11,0
4746,105,10
10736,117,17
8934,382,25
10500,43,0
2543,530,182
930,236,46
5905,12,0
1197,570,91
9544,251,15
7194,10,0
10702,1181,110
355,3219,813
1429,536,60
5579,1424,203
3095,43,0
2991,109,7
5250,16,2
8416,87,4
8604,1205,132
1153,149,15
8543,31,2
332,4201,570
5979,342,197
2769,743,82
10289,586,68
1598,194,20
10616,90,4
8395,19,3
5272,2477,137
964,748,67
9761,499,47
5824,571,374
7940,171,26
2698,895,168
4513,45,7
4519,15,1
1483,508,150
1395,363,29
4894,14,1
8835,2800,363
3281,89,7
7680,18,0
1426,194,27
2544,115,9
5257,3581,340
5491,2797,429
6590,57,0
2885,72,4
7111,54,9
7739,75,6
3070,15,1
2178,674,293
7974,48,2
7921,13,0
1057,489,122
5952,254,50
4822,34,1
6253,353,171
9487,189,24
2968,19,3
8486,102,12
3123,5,0
9534,186,12
1544,162,15
4791,6,4
11301,51,6
8534,236,9
4341,25,1
5795,1668,599
724,139,4
7859,7,0
6101,264,63
7792,81,5
1127,420,34
4949,20,2
7360,11,0
9010,903,47
1586,136,9
10754,111,6
10521,30,2
11311,357,59
7498,11,0
6802,362,42
1561,653,97
9786,71,13
4755,16,4
6592,7,1
5513,1469,195
6851,69,2
8810,33,2
7793,18,3
4708,27,3
11030,182,19
1808,140,35
2889,1735,122
6323,475,267
1095,564,87
9740,164,15
8479,279,6
11841,87,5
3287,18,1
9830,585,58
6765,28,2
9341,301,29
2605,531,112
8421,33,2
1392,376,41
4401,20,0
10272,206,8
752,78,8
9958,363,43
10952,211,17
3737,25,1
11624,344,120
5706,2204,993
10141,196,36
3215,63,6
4960,27,0
6076,487,120
10146,330,100
1777,360,71
17,3791,727
1770,330,101
1888,151,74
4957,1,0
1642,316,44
10121,33,3
7968,91,9
2316,1338,123
3022,11,1
5044,17,1
132,2545,198
6903,42,6
8949,1057,38
3012,35,1
10840,109,18
